route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
17,3,3_10433972,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433974,"SĘPOLNO",0,819392,15,137,819392
17,3,3_10433978,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433980,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433982,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433984,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433986,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433988,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433990,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433992,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433994,"SĘPOLNO",0,819392,16,137,819392
17,3,3_10433897,"Zajezdnia BOREK",1,819426,11,137,819426
17,3,3_10433917,"Zajezdnia BOREK",1,819426,12,137,819426
17,4,4_10434169,"Zajezdnia BOREK",0,805593,13,137,805593
17,4,4_10434189,"Zajezdnia BOREK",0,805593,14,137,805593
17,4,4_10434209,"Zajezdnia BOREK",0,805593,15,137,805593
17,4,4_10434229,"Zajezdnia BOREK",0,805593,16,137,805593
17,4,4_10434247,"Zajezdnia BOREK",0,805593,1,137,805593
17,4,4_10434111,"SĘPOLNO",0,816826,11,137,816826
17,4,4_10434131,"SĘPOLNO",0,816826,12,137,816826
17,4,4_10434151,"SĘPOLNO",0,816826,13,137,816826
17,4,4_10434170,"KLECINA",1,819332,14,137,819332
17,4,4_10434190,"KLECINA",1,819332,15,137,819332
17,4,4_10434210,"KLECINA",1,819332,16,137,819332
17,4,4_10434112,"KLECINA",1,819391,11,137,819391
17,4,4_10434114,"KLECINA",1,819391,11,137,819391
17,4,4_10434116,"KLECINA",1,819391,11,137,819391
17,4,4_10434118,"KLECINA",1,819391,11,137,819391
17,4,4_10434120,"KLECINA",1,819391,11,137,819391
17,4,4_10434122,"KLECINA",1,819391,11,137,819391
17,4,4_10434124,"KLECINA",1,819391,11,137,819391
17,4,4_10434126,"KLECINA",1,819391,11,137,819391
17,4,4_10434128,"KLECINA",1,819391,11,137,819391
17,4,4_10434132,"KLECINA",1,819391,12,137,819391
17,4,4_10434134,"KLECINA",1,819391,12,137,819391
17,4,4_10434136,"KLECINA",1,819391,12,137,819391
17,4,4_10434138,"KLECINA",1,819391,12,137,819391
17,4,4_10434140,"KLECINA",1,819391,12,137,819391
17,4,4_10434142,"KLECINA",1,819391,12,137,819391
17,4,4_10434144,"KLECINA",1,819391,12,137,819391
17,4,4_10434146,"KLECINA",1,819391,12,137,819391
17,4,4_10434148,"KLECINA",1,819391,12,137,819391
17,4,4_10434152,"KLECINA",1,819391,13,137,819391
17,4,4_10434154,"KLECINA",1,819391,13,137,819391
17,4,4_10434156,"KLECINA",1,819391,13,137,819391
17,4,4_10434158,"KLECINA",1,819391,13,137,819391
17,4,4_10434160,"KLECINA",1,819391,13,137,819391
17,4,4_10434162,"KLECINA",1,819391,13,137,819391
17,4,4_10434164,"KLECINA",1,819391,13,137,819391
17,4,4_10434166,"KLECINA",1,819391,13,137,819391
17,4,4_10434168,"KLECINA",1,819391,13,137,819391
17,4,4_10434172,"KLECINA",1,819391,14,137,819391
17,4,4_10434174,"KLECINA",1,819391,14,137,819391
17,4,4_10434176,"KLECINA",1,819391,14,137,819391
17,4,4_10434178,"KLECINA",1,819391,14,137,819391
17,4,4_10434180,"KLECINA",1,819391,14,137,819391
17,4,4_10434182,"KLECINA",1,819391,14,137,819391
17,4,4_10434184,"KLECINA",1,819391,14,137,819391
17,4,4_10434186,"KLECINA",1,819391,14,137,819391
17,4,4_10434188,"KLECINA",1,819391,14,137,819391
17,4,4_10434192,"KLECINA",1,819391,15,137,819391
17,4,4_10434194,"KLECINA",1,819391,15,137,819391
17,4,4_10434196,"KLECINA",1,819391,15,137,819391
17,4,4_10434198,"KLECINA",1,819391,15,137,819391
17,4,4_10434200,"KLECINA",1,819391,15,137,819391
17,4,4_10434202,"KLECINA",1,819391,15,137,819391
17,4,4_10434204,"KLECINA",1,819391,15,137,819391
17,4,4_10434206,"KLECINA",1,819391,15,137,819391
17,4,4_10434208,"KLECINA",1,819391,15,137,819391
17,4,4_10434212,"KLECINA",1,819391,16,137,819391
17,4,4_10434214,"KLECINA",1,819391,16,137,819391
17,4,4_10434216,"KLECINA",1,819391,16,137,819391
17,4,4_10434218,"KLECINA",1,819391,16,137,819391
17,4,4_10434220,"KLECINA",1,819391,16,137,819391
17,4,4_10434222,"KLECINA",1,819391,16,137,819391
17,4,4_10434224,"KLECINA",1,819391,16,137,819391
17,4,4_10434226,"KLECINA",1,819391,16,137,819391
17,4,4_10434228,"KLECINA",1,819391,16,137,819391
17,4,4_10434246,"KLECINA",1,819391,1,137,819391
17,4,4_10434113,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434115,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434117,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434119,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434121,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434123,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434125,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434127,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434129,"SĘPOLNO",0,819392,11,137,819392
17,4,4_10434133,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434135,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434137,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434139,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434141,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434143,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434145,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434147,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434149,"SĘPOLNO",0,819392,12,137,819392
17,4,4_10434153,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434155,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434157,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434159,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434161,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434163,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434165,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434167,"SĘPOLNO",0,819392,13,137,819392
17,4,4_10434171,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434173,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434175,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434177,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434179,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434181,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434183,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434185,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434187,"SĘPOLNO",0,819392,14,137,819392
17,4,4_10434191,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434193,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434195,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434197,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434199,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434201,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434203,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434205,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434207,"SĘPOLNO",0,819392,15,137,819392
17,4,4_10434211,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434213,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434215,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434217,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434219,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434221,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434223,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434225,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434227,"SĘPOLNO",0,819392,16,137,819392
17,4,4_10434130,"Zajezdnia BOREK",1,819426,11,137,819426
17,4,4_10434150,"Zajezdnia BOREK",1,819426,12,137,819426
20,3,3_10431268,"Zajezdnia BOREK",1,805507,5,137,805507
20,3,3_10431287,"Zajezdnia BOREK",1,805507,6,93,805507
20,3,3_10431325,"OPORÓW",0,809343,9,137,809343
20,3,3_10431306,"GRABISZYNEK",0,809478,8,137,809478
20,3,3_10431231,"Zajezdnia GAJ",1,820598,3,123,820598
20,3,3_10430434,"LEŚNICA",1,821183,14,137,821183
20,3,3_10430572,"LEŚNICA",1,821183,20,137,821183
20,3,3_10430833,"LEŚNICA",1,821183,7,92,821183
20,3,3_10431185,"LEŚNICA",1,821183,1,137,821183
20,3,3_10431189,"LEŚNICA",1,821183,1,137,821183
20,3,3_10431193,"LEŚNICA",1,821183,1,137,821183
20,3,3_10431202,"LEŚNICA",1,821183,2,123,821183
20,3,3_10431206,"LEŚNICA",1,821183,2,123,821183
20,3,3_10431210,"LEŚNICA",1,821183,2,123,821183
20,3,3_10431217,"LEŚNICA",1,821183,3,123,821183
20,3,3_10431221,"LEŚNICA",1,821183,3,123,821183
20,3,3_10431225,"LEŚNICA",1,821183,3,123,821183
20,3,3_10431229,"LEŚNICA",1,821183,3,123,821183
20,3,3_10431235,"LEŚNICA",1,821183,4,123,821183
20,3,3_10431239,"LEŚNICA",1,821183,4,123,821183
20,3,3_10431243,"LEŚNICA",1,821183,4,123,821183
20,3,3_10431247,"LEŚNICA",1,821183,4,123,821183
20,3,3_10431254,"LEŚNICA",1,821183,5,137,821183
